CellCenters:0,CellCenters:1,CellCenters:2
0.55,0.5,241.11
0.55,0.5,241.06
0.55,0.5,241.01
0.55,0.5,240.96
0.55,0.5,240.91
0.55,0.5,240.86
0.55,0.5,240.81
0.55,0.5,240.76
0.55,0.5,240.71
0.55,0.5,240.66
0.55,0.5,240.61
0.65,0.5,242.34
0.65,0.5,242.29
0.65,0.5,242.24
0.65,0.5,242.19
0.65,0.5,242.14
0.65,0.5,242.09
0.65,0.5,242.04
0.65,0.5,241.99
0.65,0.5,241.94
0.65,0.5,241.89
0.65,0.5,241.84
0.65,0.5,241.79
0.65,0.5,241.74
0.65,0.5,241.69
0.65,0.5,241.64
0.65,0.5,241.59
0.65,0.5,241.54
0.65,0.5,241.49
0.65,0.5,241.44
0.65,0.5,241.39
0.65,0.5,241.34
0.65,0.5,241.29
0.65,0.5,241.24
0.65,0.5,241.19
0.65,0.5,241.14
0.65,0.5,241.09
0.65,0.5,241.04
0.65,0.5,240.99
0.65,0.5,240.94
0.65,0.5,240.89
0.65,0.5,240.84
0.65,0.5,240.79
0.65,0.5,240.74
0.65,0.5,240.69
0.65,0.5,240.64
0.65,0.5,240.59
0.55,0.5,240.56
0.55,0.5,240.51
0.55,0.5,240.46
0.55,0.5,240.41
0.55,0.5,240.23
0.55,0.5,239.68
0.55,0.5,238.63
0.55,0.5,237.08
0.55,0.5,235.03
0.55,0.5,232.48
0.55,0.5,229.43
0.55,0.5,225.88
0.65,0.5,240.54
0.65,0.5,240.49
0.65,0.5,240.44
0.65,0.5,240.39
0.65,0.5,240.21
0.65,0.5,239.66
0.65,0.5,238.61
0.65,0.5,237.06
0.65,0.5,235.01
0.65,0.5,232.46
0.65,0.5,229.41
0.65,0.5,225.86
0.75,0.5,242.32
0.75,0.5,242.27
0.75,0.5,242.22
0.75,0.5,242.17
0.75,0.5,242.12
0.75,0.5,242.07
0.75,0.5,242.02
0.75,0.5,241.97
0.75,0.5,241.92
0.75,0.5,241.87
0.75,0.5,241.82
0.75,0.5,241.77
0.75,0.5,241.72
0.75,0.5,241.67
0.75,0.5,241.62
0.75,0.5,241.57
0.75,0.5,241.52
0.75,0.5,241.47
0.75,0.5,241.42
0.75,0.5,241.37
0.75,0.5,241.32
0.75,0.5,241.27
0.75,0.5,241.22
0.75,0.5,241.17
0.75,0.5,241.12
0.75,0.5,241.07
0.75,0.5,241.02
0.75,0.5,240.97
0.75,0.5,240.92
0.75,0.5,240.87
0.75,0.5,240.82
0.75,0.5,240.77
0.75,0.5,240.72
0.75,0.5,240.67
0.75,0.5,240.62
0.75,0.5,240.57
0.85,0.5,242.3
0.85,0.5,242.25
0.85,0.5,242.2
0.85,0.5,242.15
0.85,0.5,242.1
0.85,0.5,242.05
0.85,0.5,242
0.85,0.5,241.95
0.85,0.5,241.9
0.85,0.5,241.85
0.85,0.5,241.8
0.85,0.5,241.75
0.85,0.5,241.7
0.85,0.5,241.65
0.85,0.5,241.6
0.85,0.5,241.55
0.85,0.5,241.5
0.85,0.5,241.45
0.85,0.5,241.4
0.85,0.5,241.35
0.85,0.5,241.3
0.85,0.5,241.25
0.85,0.5,241.2
0.85,0.5,241.15
0.85,0.5,241.1
0.85,0.5,241.05
0.85,0.5,241
0.85,0.5,240.95
0.85,0.5,240.9
0.85,0.5,240.85
0.85,0.5,240.8
0.85,0.5,240.75
0.85,0.5,240.7
0.85,0.5,240.65
0.85,0.5,240.6
0.85,0.5,240.55
0.75,0.5,240.52
0.75,0.5,240.47
0.75,0.5,240.42
0.75,0.5,240.37
0.75,0.5,240.19
0.75,0.5,239.64
0.75,0.5,238.59
0.75,0.5,237.04
0.75,0.5,234.99
0.75,0.5,232.44
0.75,0.5,229.39
0.75,0.5,225.84
0.85,0.5,240.5
0.85,0.5,240.45
0.85,0.5,240.4
0.85,0.5,240.35
0.85,0.5,240.17
0.85,0.5,239.62
0.85,0.5,238.57
0.85,0.5,237.02
0.85,0.5,234.97
0.85,0.5,232.42
0.85,0.5,229.37
0.85,0.5,225.82
0.95,0.5,242.28
0.95,0.5,242.23
0.95,0.5,242.18
0.95,0.5,242.13
0.95,0.5,242.08
0.95,0.5,242.03
0.95,0.5,241.98
0.95,0.5,241.93
0.95,0.5,241.88
0.95,0.5,241.83
0.95,0.5,241.78
0.95,0.5,241.73
0.95,0.5,241.68
0.95,0.5,241.63
0.95,0.5,241.58
0.95,0.5,241.53
0.95,0.5,241.48
0.95,0.5,241.43
0.95,0.5,241.38
0.95,0.5,241.33
0.95,0.5,241.28
0.95,0.5,241.23
0.95,0.5,241.18
0.95,0.5,241.13
0.95,0.5,241.08
0.95,0.5,241.03
0.95,0.5,240.98
0.95,0.5,240.93
0.95,0.5,240.88
0.95,0.5,240.83
0.95,0.5,240.78
0.95,0.5,240.73
0.95,0.5,240.68
0.95,0.5,240.63
0.95,0.5,240.58
0.95,0.5,240.53
1.05,0.5,242.26
1.05,0.5,242.21
1.05,0.5,242.16
1.05,0.5,242.11
1.05,0.5,242.06
1.05,0.5,242.01
1.05,0.5,241.96
1.05,0.5,241.91
1.05,0.5,241.86
1.05,0.5,241.81
1.05,0.5,241.76
1.05,0.5,241.71
1.05,0.5,241.66
1.05,0.5,241.61
1.05,0.5,241.56
1.05,0.5,241.51
1.05,0.5,241.46
1.05,0.5,241.41
1.05,0.5,241.36
1.05,0.5,241.31
1.05,0.5,241.26
1.05,0.5,241.21
1.05,0.5,241.16
1.05,0.5,241.11
1.05,0.5,241.06
1.05,0.5,241.01
1.05,0.5,240.96
1.05,0.5,240.91
1.05,0.5,240.86
1.05,0.5,240.81
1.05,0.5,240.76
1.05,0.5,240.71
1.05,0.5,240.66
1.05,0.5,240.61
1.05,0.5,240.56
1.05,0.5,240.51
0.95,0.5,240.48
0.95,0.5,240.43
0.95,0.5,240.38
0.95,0.5,240.33
0.95,0.5,240.15
0.95,0.5,239.6
0.95,0.5,238.55
0.95,0.5,237
0.95,0.5,234.95
0.95,0.5,232.4
0.95,0.5,229.35
0.95,0.5,225.8
1.05,0.5,240.46
1.05,0.5,240.41
1.05,0.5,240.36
1.05,0.5,240.31
1.05,0.5,240.14
1.05,0.5,239.59
1.05,0.5,238.54
1.05,0.5,236.99
1.05,0.5,234.94
1.05,0.5,232.39
1.05,0.5,229.34
1.05,0.5,225.79
1.15,0.5,242.24
1.15,0.5,242.19
1.15,0.5,242.14
1.15,0.5,242.09
1.15,0.5,242.04
1.15,0.5,241.99
1.15,0.5,241.94
1.15,0.5,241.89
1.15,0.5,241.84
1.15,0.5,241.79
1.15,0.5,241.74
1.15,0.5,241.69
1.15,0.5,241.64
1.15,0.5,241.59
1.15,0.5,241.54
1.15,0.5,241.49
1.15,0.5,241.44
1.15,0.5,241.39
1.15,0.5,241.34
1.15,0.5,241.29
1.15,0.5,241.24
1.15,0.5,241.19
1.15,0.5,241.14
1.15,0.5,241.09
1.15,0.5,241.04
1.15,0.5,240.99
1.15,0.5,240.94
1.15,0.5,240.89
1.15,0.5,240.84
1.15,0.5,240.79
1.15,0.5,240.74
1.15,0.5,240.69
1.15,0.5,240.64
1.15,0.5,240.59
1.15,0.5,240.54
1.15,0.5,240.49
1.25,0.5,242.23
1.25,0.5,242.18
1.25,0.5,242.13
1.25,0.5,242.08
1.25,0.5,242.03
1.25,0.5,241.98
1.25,0.5,241.93
1.25,0.5,241.88
1.25,0.5,241.83
1.25,0.5,241.78
1.25,0.5,241.73
1.25,0.5,241.68
1.25,0.5,241.63
1.25,0.5,241.58
1.25,0.5,241.53
1.25,0.5,241.48
1.25,0.5,241.43
1.25,0.5,241.38
1.25,0.5,241.33
1.25,0.5,241.28
1.25,0.5,241.23
1.25,0.5,241.18
1.25,0.5,241.13
1.25,0.5,241.08
1.25,0.5,241.03
1.25,0.5,240.98
1.25,0.5,240.93
1.25,0.5,240.88
1.25,0.5,240.83
1.25,0.5,240.78
1.25,0.5,240.73
1.25,0.5,240.68
1.25,0.5,240.63
1.25,0.5,240.58
1.25,0.5,240.53
1.25,0.5,240.48
1.15,0.5,240.44
1.15,0.5,240.39
1.15,0.5,240.34
1.15,0.5,240.29
1.15,0.5,240.12
1.15,0.5,239.57
1.15,0.5,238.52
1.15,0.5,236.97
1.15,0.5,234.92
1.15,0.5,232.37
1.15,0.5,229.32
1.15,0.5,225.77
1.25,0.5,240.43
1.25,0.5,240.38
1.25,0.5,240.33
1.25,0.5,240.28
1.25,0.5,240.1
1.25,0.5,239.55
1.25,0.5,238.5
1.25,0.5,236.95
1.25,0.5,234.9
1.25,0.5,232.35
1.25,0.5,229.3
1.25,0.5,225.75
1.35,0.5,242.21
1.35,0.5,242.16
1.35,0.5,242.11
1.35,0.5,242.06
1.35,0.5,242.01
1.35,0.5,241.96
1.35,0.5,241.91
1.35,0.5,241.86
1.35,0.5,241.81
1.35,0.5,241.76
1.35,0.5,241.71
1.35,0.5,241.66
1.35,0.5,241.61
1.35,0.5,241.56
1.35,0.5,241.51
1.35,0.5,241.46
1.35,0.5,241.41
1.35,0.5,241.36
1.35,0.5,241.31
1.35,0.5,241.26
1.35,0.5,241.21
1.35,0.5,241.16
1.35,0.5,241.11
1.35,0.5,241.06
1.35,0.5,241.01
1.35,0.5,240.96
1.35,0.5,240.91
1.35,0.5,240.86
1.35,0.5,240.81
1.35,0.5,240.76
1.35,0.5,240.71
1.35,0.5,240.66
1.35,0.5,240.61
1.35,0.5,240.56
1.35,0.5,240.51
1.35,0.5,240.46
1.45,0.5,242.19
1.45,0.5,242.14
1.45,0.5,242.09
1.45,0.5,242.04
1.45,0.5,241.99
1.45,0.5,241.94
1.45,0.5,241.89
1.45,0.5,241.84
1.45,0.5,241.79
1.45,0.5,241.74
1.45,0.5,241.69
1.45,0.5,241.64
1.45,0.5,241.59
1.45,0.5,241.54
1.45,0.5,241.49
1.45,0.5,241.44
1.45,0.5,241.39
1.45,0.5,241.34
1.45,0.5,241.29
1.45,0.5,241.24
1.45,0.5,241.19
1.45,0.5,241.14
1.45,0.5,241.09
1.45,0.5,241.04
1.45,0.5,240.99
1.45,0.5,240.94
1.45,0.5,240.89
1.45,0.5,240.84
1.45,0.5,240.79
1.45,0.5,240.74
1.45,0.5,240.69
1.45,0.5,240.64
1.45,0.5,240.59
1.45,0.5,240.54
1.45,0.5,240.49
1.45,0.5,240.44
1.35,0.5,240.41
1.35,0.5,240.36
1.35,0.5,240.31
1.35,0.5,240.26
1.35,0.5,240.08
1.35,0.5,239.53
1.35,0.5,238.48
1.35,0.5,236.93
1.35,0.5,234.88
1.35,0.5,232.33
1.35,0.5,229.28
1.35,0.5,225.73
1.45,0.5,240.39
1.45,0.5,240.34
1.45,0.5,240.29
1.45,0.5,240.24
1.45,0.5,240.07
1.45,0.5,239.52
1.45,0.5,238.47
1.45,0.5,236.92
1.45,0.5,234.87
1.45,0.5,232.32
1.45,0.5,229.27
1.45,0.5,225.72
1.55,0.5,242.17
1.55,0.5,242.12
1.55,0.5,242.07
1.55,0.5,242.02
1.55,0.5,241.97
1.55,0.5,241.92
1.55,0.5,241.87
1.55,0.5,241.82
1.55,0.5,241.77
1.55,0.5,241.72
1.55,0.5,241.67
1.55,0.5,241.62
1.55,0.5,241.57
1.55,0.5,241.52
1.55,0.5,241.47
1.55,0.5,241.42
1.55,0.5,241.37
1.55,0.5,241.32
1.55,0.5,241.27
1.55,0.5,241.22
1.55,0.5,241.17
1.55,0.5,241.12
1.55,0.5,241.07
1.55,0.5,241.02
1.55,0.5,240.97
1.55,0.5,240.92
1.55,0.5,240.87
1.55,0.5,240.82
1.55,0.5,240.77
1.55,0.5,240.72
1.55,0.5,240.67
1.55,0.5,240.62
1.55,0.5,240.57
1.55,0.5,240.52
1.55,0.5,240.47
1.55,0.5,240.42
1.65,0.5,242.16
1.65,0.5,242.11
1.65,0.5,242.06
1.65,0.5,242.01
1.65,0.5,241.96
1.65,0.5,241.91
1.65,0.5,241.86
1.65,0.5,241.81
1.65,0.5,241.76
1.65,0.5,241.71
1.65,0.5,241.66
1.65,0.5,241.61
1.65,0.5,241.56
1.65,0.5,241.51
1.65,0.5,241.46
1.65,0.5,241.41
1.65,0.5,241.36
1.65,0.5,241.31
1.65,0.5,241.26
1.65,0.5,241.21
1.65,0.5,241.16
1.65,0.5,241.11
1.65,0.5,241.06
1.65,0.5,241.01
1.65,0.5,240.96
1.65,0.5,240.91
1.65,0.5,240.86
1.65,0.5,240.81
1.65,0.5,240.76
1.65,0.5,240.71
1.65,0.5,240.66
1.65,0.5,240.61
1.65,0.5,240.56
1.65,0.5,240.51
1.65,0.5,240.46
1.65,0.5,240.41
1.55,0.5,240.37
1.55,0.5,240.32
1.55,0.5,240.27
1.55,0.5,240.22
1.55,0.5,240.05
1.55,0.5,239.5
1.55,0.5,238.45
1.55,0.5,236.9
1.55,0.5,234.85
1.55,0.5,232.3
1.55,0.5,229.25
1.55,0.5,225.7
1.65,0.5,240.36
1.65,0.5,240.31
1.65,0.5,240.26
1.65,0.5,240.21
1.65,0.5,240.03
1.65,0.5,239.48
1.65,0.5,238.43
1.65,0.5,236.88
1.65,0.5,234.83
1.65,0.5,232.28
1.65,0.5,229.23
1.65,0.5,225.68
1.75,0.5,242.14
1.75,0.5,242.09
1.75,0.5,242.04
1.75,0.5,241.99
1.75,0.5,241.94
1.75,0.5,241.89
1.75,0.5,241.84
1.75,0.5,241.79
1.75,0.5,241.74
1.75,0.5,241.69
1.75,0.5,241.64
1.75,0.5,241.59
1.75,0.5,241.54
1.75,0.5,241.49
1.75,0.5,241.44
1.75,0.5,241.39
1.75,0.5,241.34
1.75,0.5,241.29
1.75,0.5,241.24
1.75,0.5,241.19
1.75,0.5,241.14
1.75,0.5,241.09
1.75,0.5,241.04
1.75,0.5,240.99
1.75,0.5,240.94
1.75,0.5,240.89
1.75,0.5,240.84
1.75,0.5,240.79
1.75,0.5,240.74
1.75,0.5,240.69
1.75,0.5,240.64
1.75,0.5,240.59
1.75,0.5,240.54
1.75,0.5,240.49
1.75,0.5,240.44
1.75,0.5,240.39
1.85,0.5,242.12
1.85,0.5,242.07
1.85,0.5,242.02
1.85,0.5,241.97
1.85,0.5,241.92
1.85,0.5,241.87
1.85,0.5,241.82
1.85,0.5,241.77
1.85,0.5,241.72
1.85,0.5,241.67
1.85,0.5,241.62
1.85,0.5,241.57
1.85,0.5,241.52
1.85,0.5,241.47
1.85,0.5,241.42
1.85,0.5,241.37
1.85,0.5,241.32
1.85,0.5,241.27
1.85,0.5,241.22
1.85,0.5,241.17
1.85,0.5,241.12
1.85,0.5,241.07
1.85,0.5,241.02
1.85,0.5,240.97
1.85,0.5,240.92
1.85,0.5,240.87
1.85,0.5,240.82
1.85,0.5,240.77
1.85,0.5,240.72
1.85,0.5,240.67
1.85,0.5,240.62
1.85,0.5,240.57
1.85,0.5,240.52
1.85,0.5,240.47
1.85,0.5,240.42
1.85,0.5,240.37
1.75,0.5,240.34
1.75,0.5,240.29
1.75,0.5,240.24
1.75,0.5,240.19
1.75,0.5,240.01
1.75,0.5,239.46
1.75,0.5,238.41
1.75,0.5,236.86
1.75,0.5,234.81
1.75,0.5,232.26
1.75,0.5,229.21
1.75,0.5,225.66
1.85,0.5,240.32
1.85,0.5,240.27
1.85,0.5,240.22
1.85,0.5,240.17
1.85,0.5,240
1.85,0.5,239.45
1.85,0.5,238.4
1.85,0.5,236.85
1.85,0.5,234.8
1.85,0.5,232.25
1.85,0.5,229.2
1.85,0.5,225.65
1.95,0.5,242.11
1.95,0.5,242.06
1.95,0.5,242.01
1.95,0.5,241.96
1.95,0.5,241.91
1.95,0.5,241.86
1.95,0.5,241.81
1.95,0.5,241.76
1.95,0.5,241.71
1.95,0.5,241.66
1.95,0.5,241.61
1.95,0.5,241.56
1.95,0.5,241.51
1.95,0.5,241.46
1.95,0.5,241.41
1.95,0.5,241.36
1.95,0.5,241.31
1.95,0.5,241.26
1.95,0.5,241.21
1.95,0.5,241.16
1.95,0.5,241.11
1.95,0.5,241.06
1.95,0.5,241.01
1.95,0.5,240.96
1.95,0.5,240.91
1.95,0.5,240.86
1.95,0.5,240.81
1.95,0.5,240.76
1.95,0.5,240.71
1.95,0.5,240.66
1.95,0.5,240.61
1.95,0.5,240.56
1.95,0.5,240.51
1.95,0.5,240.46
1.95,0.5,240.41
1.95,0.5,240.36
1.95,0.5,240.31
1.95,0.5,240.26
1.95,0.5,240.21
1.95,0.5,240.16
1.95,0.5,239.98
1.95,0.5,239.43
1.95,0.5,238.38
1.95,0.5,236.83
1.95,0.5,234.78
1.95,0.5,232.23
1.95,0.5,229.18
1.95,0.5,225.63
2.05,0.5,242.09
2.05,0.5,242.04
2.05,0.5,241.99
2.05,0.5,241.94
2.05,0.5,241.89
2.05,0.5,241.84
2.05,0.5,241.79
2.05,0.5,241.74
2.05,0.5,241.69
2.05,0.5,241.64
2.05,0.5,241.59
2.05,0.5,241.54
2.05,0.5,241.49
2.05,0.5,241.44
2.05,0.5,241.39
2.05,0.5,241.34
2.05,0.5,241.29
2.05,0.5,241.24
2.05,0.5,241.19
2.05,0.5,241.14
2.05,0.5,241.09
2.05,0.5,241.04
2.05,0.5,240.99
2.05,0.5,240.94
2.05,0.5,240.89
2.05,0.5,240.84
2.05,0.5,240.79
2.05,0.5,240.74
2.05,0.5,240.69
2.05,0.5,240.64
2.05,0.5,240.59
2.05,0.5,240.54
2.05,0.5,240.49
2.05,0.5,240.44
2.05,0.5,240.39
2.05,0.5,240.34
2.15,0.5,242.08
2.15,0.5,242.03
2.15,0.5,241.98
2.15,0.5,241.93
2.15,0.5,241.88
2.15,0.5,241.83
2.15,0.5,241.78
2.15,0.5,241.73
2.15,0.5,241.68
2.15,0.5,241.63
2.15,0.5,241.58
2.15,0.5,241.53
