"Points:0","Points:1","Points:2"
2.75,0.5,238.87519
2.75,0.5,238.8252
2.75,0.5,238.7752
2.75,0.5,238.7252
2.75,0.5,238.67519
2.75,0.5,238.62519
2.75,0.5,238.5752
2.75,0.5,238.5252
2.75,0.5,238.4752
2.75,0.5,238.42519
2.75,0.5,238.37519
2.75,0.5,238.3252
2.75,0.5,238.2752
2.75,0.5,238.2252
2.75,0.5,238.17519
2.75,0.5,238.12519
2.75,0.5,238.0752
2.75,0.5,238.0252
2.75,0.5,237.9752
2.75,0.5,237.92519
2.75,0.5,237.87519
2.75,0.5,237.8252
2.75,0.5,237.7752
2.75,0.5,237.7252
2.75,0.5,237.67519
2.75,0.5,237.62519
2.75,0.5,237.5752
2.75,0.5,237.5252
2.75,0.5,237.4752
3.25,0.5,239.24628
3.25,0.5,239.19628
3.25,0.5,239.14628
3.25,0.5,239.09628
3.25,0.5,239.04629
3.25,0.5,238.99628
3.25,0.5,238.94628
3.25,0.5,238.89628
3.25,0.5,238.84628
3.25,0.5,238.79629
3.25,0.5,238.74628
3.25,0.5,238.69628
3.25,0.5,238.64628
3.25,0.5,238.59628
3.25,0.5,238.54629
3.25,0.5,238.49628
3.25,0.5,238.44628
3.25,0.5,238.39628
3.25,0.5,238.34628
3.25,0.5,238.29629
3.25,0.5,238.24628
3.25,0.5,238.19628
3.25,0.5,238.14628
3.25,0.5,238.09628
3.25,0.5,238.04629
3.25,0.5,237.99628
3.25,0.5,237.94628
3.25,0.5,237.89628
3.25,0.5,237.84628
3.25,0.5,237.79629
3.25,0.5,237.74628
3.25,0.5,237.69628
3.25,0.5,237.64628
3.25,0.5,237.59628
3.25,0.5,237.54629
3.25,0.5,237.49628
3.75,0.5,239.26735
3.75,0.5,239.21735
3.75,0.5,239.16734
3.75,0.5,239.11734
3.75,0.5,239.06734
3.75,0.5,239.01735
3.75,0.5,238.96735
3.75,0.5,238.91734
3.75,0.5,238.86734
3.75,0.5,238.81734
3.75,0.5,238.76735
3.75,0.5,238.71735
3.75,0.5,238.66734
3.75,0.5,238.61734
3.75,0.5,238.56734
3.75,0.5,238.51735
3.75,0.5,238.46735
3.75,0.5,238.41734
3.75,0.5,238.36734
3.75,0.5,238.31734
3.75,0.5,238.26735
3.75,0.5,238.21735
3.75,0.5,238.16734
3.75,0.5,238.11734
3.75,0.5,238.06734
3.75,0.5,238.01735
3.75,0.5,237.96735
3.75,0.5,237.91734
3.75,0.5,237.86734
3.75,0.5,237.81734
3.75,0.5,237.76735
3.75,0.5,237.71735
3.75,0.5,237.66734
3.75,0.5,237.61734
3.75,0.5,237.56734
3.75,0.5,237.51735
4.25,0.5,239.28733
4.25,0.5,239.23733
4.25,0.5,239.18733
4.25,0.5,239.13733
4.25,0.5,239.08733
4.25,0.5,239.03733
4.25,0.5,238.98733
4.25,0.5,238.93733
4.25,0.5,238.88733
4.25,0.5,238.83733
4.25,0.5,238.78733
4.25,0.5,238.73733
4.25,0.5,238.68733
4.25,0.5,238.63733
4.25,0.5,238.58733
4.25,0.5,238.53733
4.25,0.5,238.48733
4.25,0.5,238.43733
4.25,0.5,238.38733
4.25,0.5,238.33733
4.25,0.5,238.28733
4.25,0.5,238.23733
4.25,0.5,238.18733
4.25,0.5,238.13733
4.25,0.5,238.08733
4.25,0.5,238.03733
4.25,0.5,237.98733
4.25,0.5,237.93733
4.25,0.5,237.88733
4.25,0.5,237.83733
4.25,0.5,237.78733
4.25,0.5,237.73733
4.25,0.5,237.68733
4.25,0.5,237.63733
4.25,0.5,237.58733
4.25,0.5,237.53733
4.75,0.5,239.30626
4.75,0.5,239.25626
4.75,0.5,239.20626
4.75,0.5,239.15627
4.75,0.5,239.10626
4.75,0.5,239.05626
4.75,0.5,239.00626
4.75,0.5,238.95626
4.75,0.5,238.90627
4.75,0.5,238.85626
4.75,0.5,238.80626
4.75,0.5,238.75626
4.75,0.5,238.70626
4.75,0.5,238.65627
4.75,0.5,238.60626
4.75,0.5,238.55626
4.75,0.5,238.50626
4.75,0.5,238.45626
4.75,0.5,238.40627
4.75,0.5,238.35626
4.75,0.5,238.30626
4.75,0.5,238.25626
4.75,0.5,238.20626
4.75,0.5,238.15627
4.75,0.5,238.10626
4.75,0.5,238.05626
4.75,0.5,238.00626
4.75,0.5,237.95626
4.75,0.5,237.90627
4.75,0.5,237.85626
4.75,0.5,237.80626
4.75,0.5,237.75626
4.75,0.5,237.70626
4.75,0.5,237.65627
4.75,0.5,237.60626
4.75,0.5,237.55626
5.25,0.5,239.3252
5.25,0.5,239.27519
5.25,0.5,239.22519
5.25,0.5,239.17519
5.25,0.5,239.12519
5.25,0.5,239.0752
5.25,0.5,239.02519
5.25,0.5,238.97519
5.25,0.5,238.92519
5.25,0.5,238.87519
5.25,0.5,238.8252
5.25,0.5,238.77519
5.25,0.5,238.72519
5.25,0.5,238.67519
5.25,0.5,238.62519
5.25,0.5,238.5752
5.25,0.5,238.52519
5.25,0.5,238.47519
5.25,0.5,238.42519
5.25,0.5,238.37519
5.25,0.5,238.3252
5.25,0.5,238.27519
5.25,0.5,238.22519
5.25,0.5,238.17519
5.25,0.5,238.12519
5.25,0.5,238.0752
5.25,0.5,238.02519
5.25,0.5,237.97519
5.25,0.5,237.92519
5.25,0.5,237.87519
5.25,0.5,237.8252
5.25,0.5,237.77519
5.25,0.5,237.72519
5.25,0.5,237.67519
5.25,0.5,237.62519
5.25,0.5,237.5752
2.75,0.5,237.42519
2.75,0.5,237.37519
2.75,0.5,237.3252
2.75,0.5,237.2752
2.75,0.5,237.1002
2.75,0.5,236.55019
2.75,0.5,235.50019
2.75,0.5,233.9502
2.75,0.5,231.9002
2.75,0.5,229.3502
2.75,0.5,226.30019
2.75,0.5,222.75019
3.25,0.5,237.44628
3.25,0.5,237.39628
3.25,0.5,237.34628
3.25,0.5,237.29629
3.25,0.5,237.12128
3.25,0.5,236.57128
3.25,0.5,235.52128
