"Points:0","Points:1","Points:2"
0.25,0.5,248.70334
0.25,0.5,248.65335
0.25,0.5,248.60335
0.25,0.5,248.55334
0.25,0.5,248.50334
0.25,0.5,248.45334
0.25,0.5,248.40335
0.25,0.5,248.35335
0.25,0.5,248.30334
0.25,0.5,248.25334
0.25,0.5,248.20334
0.25,0.5,248.15335
0.25,0.5,248.10335
0.25,0.5,248.05334
0.25,0.5,248.00334
0.25,0.5,247.95334
0.25,0.5,247.90335
0.25,0.5,247.85335
0.25,0.5,247.80334
0.25,0.5,247.75334
0.25,0.5,247.70334
0.25,0.5,247.65335
0.25,0.5,247.60335
0.25,0.5,247.55334
0.25,0.5,247.50334
0.25,0.5,247.45334
0.25,0.5,247.40335
0.25,0.5,247.35335
0.25,0.5,247.30334
0.25,0.5,247.25334
0.25,0.5,247.20334
0.25,0.5,247.15335
0.25,0.5,247.10335
0.25,0.5,247.05334
0.25,0.5,247.00334
0.25,0.5,246.95334
0.75,0.5,248.69963
0.75,0.5,248.64963
0.75,0.5,248.59964
0.75,0.5,248.54964
0.75,0.5,248.49963
0.75,0.5,248.44963
0.75,0.5,248.39963
0.75,0.5,248.34964
0.75,0.5,248.29964
0.75,0.5,248.24963
0.75,0.5,248.19963
0.75,0.5,248.14963
0.75,0.5,248.09964
0.75,0.5,248.04964
0.75,0.5,247.99963
0.75,0.5,247.94963
0.75,0.5,247.89963
0.75,0.5,247.84964
0.75,0.5,247.79964
0.75,0.5,247.74963
0.75,0.5,247.69963
0.75,0.5,247.64963
0.75,0.5,247.59964
0.75,0.5,247.54964
0.75,0.5,247.49963
0.75,0.5,247.44963
0.75,0.5,247.39963
0.75,0.5,247.34964
0.75,0.5,247.29964
0.75,0.5,247.24963
0.75,0.5,247.19963
0.75,0.5,247.14963
0.75,0.5,247.09964
0.75,0.5,247.04964
0.75,0.5,246.99963
0.75,0.5,246.94963
1.25,0.5,248.69592
1.25,0.5,248.64592
1.25,0.5,248.59592
1.25,0.5,248.54593
1.25,0.5,248.49593
1.25,0.5,248.44592
1.25,0.5,248.39592
1.25,0.5,248.34592
1.25,0.5,248.29593
1.25,0.5,248.24593
1.25,0.5,248.19592
1.25,0.5,248.14592
1.25,0.5,248.09592
1.25,0.5,248.04593
1.25,0.5,247.99593
1.25,0.5,247.94592
1.25,0.5,247.89592
1.25,0.5,247.84592
1.25,0.5,247.79593
1.25,0.5,247.74593
1.25,0.5,247.69592
1.25,0.5,247.64592
1.25,0.5,247.59592
1.25,0.5,247.54593
1.25,0.5,247.49593
1.25,0.5,247.44592
1.25,0.5,247.39592
1.25,0.5,247.34592
1.25,0.5,247.29593
1.25,0.5,247.24593
1.25,0.5,247.19592
1.25,0.5,247.14592
1.25,0.5,247.09592
1.25,0.5,247.04593
1.25,0.5,246.99593
1.25,0.5,246.94592
1.75,0.5,248.69221
1.75,0.5,248.64221
1.75,0.5,248.59221
1.75,0.5,248.54222
1.75,0.5,248.49222
1.75,0.5,248.44221
1.75,0.5,248.39221
1.75,0.5,248.34221
1.75,0.5,248.29222
1.75,0.5,248.24222
1.75,0.5,248.19221
1.75,0.5,248.14221
1.75,0.5,248.09221
1.75,0.5,248.04222
1.75,0.5,247.99222
1.75,0.5,247.94221
1.75,0.5,247.89221
1.75,0.5,247.84221
1.75,0.5,247.79222
1.75,0.5,247.74222
1.75,0.5,247.69221
1.75,0.5,247.64221
1.75,0.5,247.59221
1.75,0.5,247.54222
