% Model:              Untitled.mph
% Version:            COMSOL 6.2.0.415
% Date:               Nov 18 2025, 16:39
% Dimension:          2
% Nodes:              3093
% Expressions:        2
% Description:        Electric potential
% Length unit:        m
% x                       y                        V (V) @ t=0              V (V) @ t=1
94.6215040613154          224.71802413056903       0.012075592856580818     0.012967403215738004
94.44279728811591         224.338356058746         0.012081681385599416     0.012972936683901847
94.99999999999999         224.32200479469728       0.012051724663757968     0.012945119174901843
94.19142569131934         224.770702989592         0.012095478149530553     0.012985694416107333
93.92474655390978         224.36059504971152       0.012101107491867068     0.012990570296543802
93.69347686079523         224.81214851269812       0.01211130880860576      0.012999882922669306
93.40609366088634         224.42912962913942       0.012113248967325692     0.013001235429353683
93.18595458037935         224.93690844809112       0.012120759763441765     0.013007789338426818
92.83769941994878         224.53426005872734       0.012118151948345124     0.013004536792491922
92.60799133923754         225.09854010676077       0.01212101040582554      0.013006522481312713
92.20973404977624         224.64990547378366       0.012110968334150483     0.012995952200789874
91.95235289995958         225.2820516841076        0.012106488013378313     0.01299066961151729
91.5160417719515          224.7775795471077        0.012087189625954745     0.012971077018961425
91.2278345344043          225.4783088890094        0.01207251576387945      0.012955798023467262
90.74993729232807         224.91958384502107       0.012042267294395273     0.012925495538723115
90.4362541608163          225.68577339570086       0.01201576731159367      0.012898718153115744
89.90317641440821         225.0737820680812        0.011973271120261442     0.012856070418319853
89.55874451694899         225.8991337607888        0.011932683096542836     0.012816298953430907
88.96649182408693         225.23674487960952       0.011882802152035236     0.012763880584576235
88.60759332157632         226.10907101576404       0.01182794179105016      0.012706121595581087
87.96297466118864         225.4096837596075        0.011767887647806086     0.012644987218725376
87.60398519373643         226.30609544865464       0.011717956108970579     0.012593096685575235
86.94028443931748         225.58621975120502       0.011627133496355968     0.012504471394620222
86.57875272128841         226.4873873635871        0.011607788463049192     0.012486861747858952
85.91739338165614         225.7617001962814        0.01146610727373588      0.012345923042903122
85.54423502729996         226.65956237962516       0.011495133836468191     0.012365658677314173
84.89203265662965         225.92214258625032       0.011265925787765576     0.012145408127685253
84.50605206116839         226.82450837143415       0.011269209610360166     0.012154642765665379
83.8666468916163          226.08243406045932       0.011052577588431334     0.011925233698412504
83.46890749829149         226.98922401967403       0.011000657398477158     0.011891519474320043
82.84127771505388         226.2428313432656        0.010772710805571054     0.011669004494197542
82.42903554557287         227.1324461289073        0.010830617012163675     0.011725394792949491
81.8141203012402          226.3905396723701        0.010612551306188165     0.011539594280193126
81.39764124323717         227.26796230819303       0.010624315812012458     0.011550794338068576
80.78179304139786         226.49734387439105       0.010419024397579546     0.01135176537272687
80.36039076548286         227.3767584393164        0.010406005571306417     0.011363136669581888
79.7495211931215          226.60469449177216       0.010181945364476893     0.01110377546508585
79.3203746290888          227.48646697344932       0.010072579893061066     0.011043049694980456
78.71725481177563         226.7120976036861        0.009899169569998251     0.010832185099358382
78.28247143558568         227.59022458664106       0.009826093787916794     0.01081000755118449
77.68420112216594         226.81148296756044       0.009717858526942158     0.01062713731974735
77.2455730962228          227.68698224648688       0.009666218432529542     0.010645859454905605
76.65031499244567         226.90197483502695       0.009565430415241324     0.010465679613074893
76.20957466824032         227.77910885836684       0.009526982993278544     0.010500104115612382
75.6164383019253          226.99257447558526       0.009394252160278083     0.01030485427438656
75.17421021972595         227.86900908571167       0.00933625147679496      0.01029792897079649
74.5824867494666          227.08231497760076       0.009171740910805902     0.010085340547863975
74.13903306572699         227.95784111195374       0.009087195590878451     0.010021696292146746
73.54837467942308         227.17018488076303       0.008934906354985691     0.009823975066570973
73.10350220356311         228.04572905321484       0.008867542803390858     0.009765877206175255
72.51412080829928         227.25637165274355       0.0087223223246448       0.009570294015965958
72.06747912569571         228.1327082072343        0.008656124116230499     0.00950350762450408
71.47983143196167         227.34213181624693       0.008513044268292354     0.009318853008236538
71.03135522203873         228.21870456204604       0.008436769175942578     0.009234425077894294
70.4455249274852          227.42768379673421       0.008320696527080134     0.009092906765079888
69.99551096635476         228.30348988399749       0.00825070549967897      0.009011068118706382
69.41109130065772         227.5116854219431        0.008146183031254169     0.008879908457853988
68.96011606689319         228.38693681268262       0.008076275581609298     0.008798813677322284
68.3765942686101          227.5949032264238        0.007979791774895762     0.008673199368503467
67.92517462548425         228.46946997018503       0.007909972539797585     0.00859411521479518
67.34208452831749         227.67796294212457       0.007815372537105037     0.008474372231943195
66.89043090107715         228.55134653808548       0.007747959975321955     0.008399102958583947
66.30754890518081         227.7606996158999        0.007661997022859569     0.008287586010140792
65.85593472110791         228.6329102068737        0.00759328853210027      0.008219722873093653
65.27298202543895         227.84304448616166       0.00750349925653051      0.008096925509289988
64.82139026483263         228.7144512154242        0.0074198797597290105    0.00801936841045933
64.23842028515196         227.9254535676526        0.0073411627040557885    0.00790531832179785
63.78644041196443         228.7962024340964        0.007256664768862363     0.007829633135738439
63.203825147996284        228.00744044601012       0.007185132561050145     0.007723350078270114
62.75065535822761         228.87773273903636       0.007101642658835452     0.007645425936258131
62.16893392781222         228.08558701412574       0.007010660790639152     0.007521822117477925
61.71383253733193         228.9575166654556        0.006926150422430098     0.007448205377679287
61.133676233011215        228.15873340707685       0.0068070261158018       0.007288466460598532
60.676149870585085        229.03412763356354       0.006721368580642034     0.0072150797149339975
60.09839837026722         228.23159672034754       0.006590892143345125     0.007038699374202079
59.638077370250166        229.1073171830163        0.006513483515491274     0.006980771306765582
59.063124001742935        228.30450852112247       0.0064020435607635125    0.006832646241442908
